match_id,period,stage,goal_time,n_matches_group,n_matches_ko,n_matches_ET,ET_match
3795108,2,Quarter-finals,67,36,15,1,True
3795108,1,Quarter-finals,7,36,15,1,True
3788769,1,Group Stage,37,36,15,1,False
3788769,2,Group Stage,58,36,15,1,False
3788769,2,Group Stage,69,36,15,1,False
3788769,2,Group Stage,78,36,15,1,False
3788769,2,Group Stage,81,36,15,1,False
3788766,1,Group Stage,38,36,15,1,False
3795220,2,Semi-finals,59,36,15,2,True
3795220,2,Semi-finals,79,36,15,2,True
3788761,2,Group Stage,76,36,15,2,False
3788764,1,Group Stage,14,36,15,2,False
3788764,2,Group Stage,50,36,15,2,False
3788764,2,Group Stage,59,36,15,2,False
3788764,2,Group Stage,66,36,15,2,False
3788764,1,Group Stage,34,36,15,2,False
3788764,1,Group Stage,38,36,15,2,False
3788773,1,Group Stage,30,36,15,2,False
3788773,1,Group Stage,46,36,15,2,False
3788773,2,Group Stage,46,36,15,2,False
3788773,2,Group Stage,59,36,15,2,False
3788755,1,Group Stage,41,36,15,2,False
3788755,2,Group Stage,94,36,15,2,False
3788754,1,Group Stage,25,36,15,2,False
3788754,2,Group Stage,51,36,15,2,False
3788754,2,Group Stage,88,36,15,2,False
3788762,1,Group Stage,24,36,15,2,False
3788762,2,Group Stage,53,36,15,2,False
3788760,1,Group Stage,36,36,15,2,False
3788760,2,Group Stage,46,36,15,2,False
3788747,1,Group Stage,17,36,15,2,False
3788747,1,Group Stage,27,36,15,2,False
3788747,2,Group Stage,77,36,15,2,False
3788747,2,Group Stage,88,36,15,2,False
3788741,2,Group Stage,65,36,15,2,False
3788741,2,Group Stage,78,36,15,2,False
3788741,2,Group Stage,52,36,15,2,False
3795109,1,Quarter-finals,4,36,15,2,False
3795109,1,Quarter-finals,41,36,15,2,False
3795109,2,Quarter-finals,48,36,15,2,False
3795187,1,Quarter-finals,3,36,15,2,False
3795187,2,Quarter-finals,45,36,15,2,False
3795187,2,Quarter-finals,49,36,15,2,False
3795187,2,Quarter-finals,62,36,15,2,False
3788770,1,Group Stage,23,36,15,2,False
3788770,2,Group Stage,50,36,15,2,False
3788770,2,Group Stage,57,36,15,2,False
3795506,1,Final,1,36,15,3,True
3795506,2,Final,66,36,15,3,True
3794688,2,Round of 16,74,36,15,3,False
3794688,2,Round of 16,85,36,15,3,False
3794692,1,Round of 16,26,36,15,4,True
3794692,1,Round of 16,42,36,15,4,True
3794692,4,Round of 16,120,36,15,4,True
3794686,1,Round of 16,37,36,15,5,True
3794686,2,Round of 16,56,36,15,5,True
3794686,2,Round of 16,76,36,15,5,True
3794686,2,Round of 16,84,36,15,5,True
3794686,2,Round of 16,91,36,15,5,True
3794686,3,Round of 16,99,36,15,5,True
