match_id,period,n_matches,goal_time
3879863,1,380,9
3879863,1,380,18
3879773,1,380,11
3879773,2,380,59
3879847,1,380,11
3879847,1,380,44
3879847,2,380,46
3879847,2,380,49
3879847,2,380,55
3879847,2,380,82
3879862,1,380,11
3879862,1,380,19
3879862,2,380,65
3879817,1,380,3
3879817,1,380,43
3879825,1,380,5
3879825,1,380,43
3879750,2,380,66
3879750,2,380,80
3879750,2,380,83
3879750,2,380,86
3879750,2,380,90
3879567,2,380,55
3879567,2,380,58
3879567,2,380,68
3879567,2,380,74
3879785,2,380,66
3879785,2,380,94
3879705,2,380,67
3879705,2,380,92
3879628,1,380,15
3879628,1,380,37
3879628,2,380,48
3879628,2,380,78
3879628,2,380,86
3879665,1,380,18
3879665,2,380,49
3879665,2,380,54
3879665,2,380,76
3879665,2,380,82
3879665,2,380,92
3879699,1,380,8
3879699,1,380,17
3879699,1,380,44
3879699,2,380,59
3879699,2,380,72
3879699,2,380,78
3879703,1,380,4
3879703,2,380,65
3879703,2,380,71
3879703,2,380,80
3879703,2,380,95
3879609,2,380,52
3879653,1,380,2
3879653,1,380,5
3879653,2,380,79
3879653,2,380,90
3879632,1,380,39
3879632,2,380,81
3879663,1,380,33
3879663,1,380,38
3879645,1,380,13
3879645,1,380,20
3879645,2,380,59
3879645,2,380,86
3879645,2,380,89
3879579,2,380,59
3879579,2,380,65
3879566,2,380,46
3879566,2,380,75
3879587,2,380,66
3879556,2,380,57
3879556,2,380,70
3879585,1,380,30
3879585,2,380,52
3879585,2,380,85
3879582,1,380,39
3879582,2,380,69
3879582,2,380,93
3879564,1,380,1
3879564,1,380,12
3879564,1,380,26
3879564,2,380,57
3879564,2,380,90
3879564,2,380,91
3879562,1,380,12
3879562,2,380,47
3879562,2,380,66
3879562,2,380,76
3879837,1,380,8
3879837,1,380,35
3879837,2,380,74
3879837,2,380,94
3879838,1,380,2
3879838,1,380,19
3879838,2,380,77
3879839,1,380,38
3879839,2,380,80
3879839,2,380,82
3879840,1,380,10
3879840,2,380,62
3879833,1,380,38
3879833,2,380,51
3879833,2,380,63
3879828,1,380,34
3879828,2,380,64
3879828,2,380,79
3879828,2,380,85
3879828,2,380,88
3879832,1,380,1
3879832,1,380,10
3879832,2,380,54
3879832,2,380,75
3879830,2,380,76
3879792,1,380,23
3879795,1,380,41
3879795,2,380,62
3879795,2,380,66
3879794,1,380,26
3879794,1,380,45
3879787,2,380,52
3879787,2,380,83
3879786,1,380,22
3879784,1,380,3
3879784,1,380,14
3879784,1,380,19
3879784,1,380,46
3879784,2,380,65
3879783,1,380,14
3879783,2,380,73
3879783,2,380,84
3879782,1,380,26
3879782,2,380,70
3879782,2,380,89
3879780,1,380,39
3879780,2,380,85
3879779,2,380,71
3879779,2,380,75
3879779,2,380,89
3879778,1,380,40
3879778,2,380,81
3879777,1,380,35
3879774,1,380,10
3879774,1,380,22
3879774,1,380,44
3879774,2,380,53
3879771,1,380,26
3879771,2,380,71
3879772,1,380,11
3879772,2,380,77
3879756,1,380,38
3879756,1,380,43
3879748,1,380,28
3879748,2,380,56
