match_id,period,goal_time
3754301,1,27
3754301,1,34
3754301,1,39
3754323,1,8
3754323,1,32
3754323,2,82
3754323,2,92
3754304,1,9
3754304,1,13
3754304,1,16
3754304,1,40
3754304,2,46
3754304,2,92
3754311,2,69
3754328,1,25
3754328,2,89
3754328,2,91
3754309,1,18
3754309,2,54
3754309,2,68
3754309,2,91
3754329,1,8
3754329,2,47
3754302,1,20
3754302,1,36
3754302,2,65
3754302,2,90
3754013,1,33
3754013,2,47
3754013,2,76
3754044,1,37
3754044,2,53
3754044,2,65
3754351,1,20
3754351,1,41
3754351,2,81
3754343,2,62
3754109,1,22
3754109,1,32
3754109,2,49
3754109,2,83
3754109,2,86
3754182,1,14
3754182,2,46
3754240,1,30
3754240,2,84
3754336,1,16
3754336,1,21
3754336,1,35
3754336,2,81
3754247,1,9
3754156,2,51
3754156,2,64
3754156,2,74
3754265,1,31
3754265,2,76
3754000,2,68
3754003,2,48
3754003,2,69
3754003,2,83
3754003,2,85
3754344,1,8
3754344,2,51
3754131,1,10
3754131,1,27
3754131,2,47
3754131,2,52
3754131,2,65
3754131,2,78
3754131,2,81
3754300,1,12
3754300,2,75
3754300,2,82
3754300,2,85
3754312,1,15
3754312,1,27
3754312,2,54
3754138,1,37
3754138,2,48
3754138,2,68
3754138,2,93
3754203,1,26
3754203,1,37
3754203,2,54
3754190,2,70
3754190,2,86
3754190,2,76
3754066,1,31
3754066,2,77
3754066,2,82
3754034,1,21
3754034,1,44
3754034,2,83
3753985,2,85
3753987,2,80
3753987,2,81
3754180,1,47
3754180,2,61
3754059,1,19
3754059,1,29
3754059,1,34
3754059,1,41
3754059,2,58
3754064,1,16
3754064,1,21
3754064,2,63
3754064,2,82
3754064,2,85
3754065,2,82
3754173,1,26
3754173,2,62
3753973,1,16
3753973,1,47
3753973,2,60
3753973,2,88
3753975,1,12
3753975,1,45
3753976,1,14
3753976,1,31
3753976,2,73
3753977,1,17
3753977,2,50
3753977,2,85
3753980,1,6
3753980,1,41
3753981,2,57
3753982,1,37
3753986,1,7
3753986,1,21
