match_id,period,n_matches,goal_time
3825848,1,380,9
3825848,2,380,47
3825848,2,380,51
3825848,2,380,92
3825895,1,380,29
3825895,2,380,75
3825894,1,380,40
3825894,2,380,84
3825855,1,380,30
3825855,1,380,41
3825855,2,380,88
3825855,2,380,92
3825908,1,380,12
3825908,1,380,31
3825908,2,380,56
3825908,2,380,65
3825908,2,380,75
3825908,2,380,89
3825883,1,380,25
3825883,1,380,30
3825883,1,380,45
3825883,2,380,83
3825883,2,380,85
3825900,1,380,6
3825900,2,380,78
3825902,1,380,11
3825902,1,380,22
3825902,2,380,59
3825902,2,380,72
3825876,2,380,55
3825876,2,380,72
3825876,2,380,83
3825846,1,380,6
3825846,1,380,24
3825869,1,380,10
3825869,1,380,30
3825869,2,380,54
3825869,2,380,70
3825882,2,380,50
3825882,2,380,53
3825849,2,380,93
3825860,1,380,1
3825860,1,380,29
3825860,2,380,89
3825847,1,380,7
3825847,2,380,70
3825817,1,380,6
3825817,2,380,86
3825778,2,380,64
3825778,2,380,66
3825777,1,380,9
3825777,1,380,42
3825777,2,380,80
3825740,1,380,34
3825740,1,380,37
3825740,2,380,64
3825740,2,380,67
3825740,2,380,73
3825740,2,380,78
3825884,2,380,66
3825884,2,380,79
3825842,1,380,12
3825842,2,380,87
3825842,2,380,90
3825842,2,380,67
3825890,2,380,61
3825871,1,380,45
3825871,2,380,48
3825871,2,380,55
3825871,2,380,74
3825896,1,380,24
3825896,1,380,34
3825896,1,380,43
3825896,2,380,81
3825896,2,380,84
3825896,2,380,92
3825841,1,380,18
3825841,1,380,44
3825841,2,380,55
3825843,2,380,61
3825843,2,380,90
3825839,1,380,7
3825839,2,380,90
3825839,1,380,21
3825838,1,380,37
3825840,1,380,9
3825840,1,380,27
3825840,1,380,39
3825840,2,380,55
3825837,2,380,82
3825836,1,380,6
3825836,1,380,19
3825836,2,380,80
3825835,2,380,52
3825834,1,380,14
3825834,2,380,58
3825834,2,380,82
3825906,1,380,20
3825906,2,380,80
3825897,1,380,6
3825897,1,380,31
3825897,2,380,57
3825889,1,380,23
3825889,2,380,77
3825833,1,380,28
3825833,1,380,39
3825833,2,380,49
3825833,2,380,83
3825833,2,380,87
3825833,2,380,91
3825857,1,380,6
3825857,1,380,22
3825857,2,380,65
3825863,2,380,46
3825863,2,380,57
3825863,2,380,78
3825863,2,380,92
3825829,2,380,60
3825830,1,380,14
3825830,2,380,84
3825832,2,380,63
3825831,1,380,40
3825831,2,380,85
3825831,2,380,90
3825828,1,380,28
3825828,1,380,34
3825828,2,380,57
3825828,2,380,88
3825827,2,380,80
3825824,1,380,21
3825824,1,380,34
3825824,2,380,49
3825823,1,380,1
3825823,2,380,50
3825823,1,380,33
3825905,1,380,10
3825905,1,380,44
3825822,1,380,2
3825822,2,380,49
3825822,2,380,63
3825821,1,380,19
3825821,2,380,53
3825821,2,380,56
3825820,1,380,5
3825820,2,380,63
3825820,2,380,65
3825820,2,380,85
3825819,2,380,79
3825819,2,380,83
3825818,1,380,38
3825887,1,380,10
3825887,1,380,46
3825887,2,380,53
3825887,2,380,86
3825907,1,380,28
3825907,2,380,78
3825907,2,380,88
3825903,2,380,81
3825816,1,380,22
3825816,1,380,28
3825816,1,380,36
3825816,2,380,64
3825816,2,380,90
3825816,2,380,50
3825815,2,380,63
3825858,1,380,6
3825858,1,380,35
3825813,1,380,17
3825813,2,380,59
3825813,2,380,82
3825814,1,380,15
3825812,1,380,24
3825811,1,380,11
3825811,2,380,66
3825811,2,380,76
3825807,1,380,23
3825807,1,380,27
3825807,2,380,71
3825807,2,380,84
3825809,2,380,84
3825809,2,380,94
3825810,1,380,13
3825810,1,380,23
3825808,1,380,26
3825808,2,380,58
3825804,1,380,28
3825804,1,380,42
3825804,2,380,62
3825804,2,380,68
3825804,2,380,80
3825804,2,380,88
3825867,2,380,78
3825867,2,380,85
3825805,1,380,29
3825782,2,380,54
3825782,2,380,90
3825782,2,380,92
3825757,1,380,6
3825757,1,380,11
3825757,1,380,15
3825757,1,380,44
3825757,2,380,81
3825757,2,380,85
3825641,1,380,28
3825641,1,380,41
3825641,2,380,66
3825803,2,380,71
3825803,2,380,92
3825801,1,380,10
3825799,1,380,13
3825799,2,380,49
3825799,1,380,40
3825797,1,380,12
3825797,1,380,35
3825797,2,380,50
3825797,2,380,52
3825797,2,380,59
3825798,1,380,33
3825798,1,380,38
3825798,2,380,91
3825798,1,380,37
3825796,1,380,6
3825796,1,380,27
3825796,2,380,48
3825796,2,380,82
3825795,2,380,45
3825795,2,380,60
3825795,1,380,7
3825793,2,380,72
3825793,2,380,76
3825793,2,380,79
3825792,1,380,23
3825794,1,380,11
3825794,1,380,29
3825794,2,380,47
3825788,2,380,70
3825791,1,380,13
3825791,1,380,27
3825791,2,380,47
3825791,2,380,50
3825790,1,380,19
3825790,1,380,40
3825790,2,380,47
3825790,2,380,57
3825790,2,380,61
3825790,2,380,79
3825787,2,380,52
3825789,2,380,55
3825789,2,380,80
3825786,1,380,45
3825781,1,380,9
3825781,1,380,19
3825781,1,380,42
3825781,2,380,61
3825785,1,380,32
3825785,2,380,65
3825783,1,380,16
3825780,2,380,51
3825779,1,380,30
3825779,1,380,38
3825779,2,380,68
3825779,2,380,83
3825779,2,380,86
3825773,1,380,36
3825773,2,380,57
3825776,2,380,68
3825776,2,380,74
3825775,1,380,20
3825775,1,380,44
3825775,2,380,59
3825769,1,380,17
3825770,1,380,2
3825770,1,380,9
3825770,1,380,36
3825770,1,380,44
3825770,2,380,86
3825770,2,380,89
3825768,1,380,4
3825768,1,380,38
3825768,1,380,45
3825768,2,380,57
3825736,1,380,14
3825736,2,380,54
3825736,2,380,68
3825736,2,380,87
3825731,2,380,50
3825731,2,380,71
3825685,1,380,16
3825685,1,380,37
3825685,2,380,77
3825685,2,380,83
3825678,1,380,42
3825678,2,380,81
3825643,1,380,3
3825643,1,380,13
3825643,1,380,37
3825643,1,380,42
3825642,1,380,33
3825642,2,380,76
3825638,1,380,31
3825638,1,380,39
3825638,2,380,71
3825614,1,380,24
3825614,2,380,64
3825612,2,380,80
3825612,2,380,90
3825612,2,380,91
3825607,1,380,13
3825595,1,380,42
3825595,2,380,66
3825595,2,380,79
3825595,2,380,91
3825579,1,380,34
3825579,2,380,77
3825579,2,380,84
3825572,1,380,1
3825572,1,380,38
3825572,2,380,46
3825572,2,380,49
3825572,2,380,88
3825774,1,380,1
3825772,2,380,51
3825772,2,380,70
3825772,2,380,75
3825771,1,380,14
3825771,1,380,19
3825771,1,380,37
3825771,2,380,50
3825767,1,380,4
3825767,1,380,7
3825767,2,380,51
3825767,2,380,54
3825767,2,380,89
3825706,2,380,70
3825708,2,380,78
3825707,1,380,31
3825707,2,380,49
3825707,2,380,55
3825707,2,380,79
3825707,2,380,91
3825705,2,380,54
3825705,2,380,61
3825711,2,380,87
3825711,2,380,89
3825703,2,380,54
3825703,2,380,81
3825700,1,380,2
3825700,1,380,9
3825700,1,380,11
3825700,1,380,24
3825700,1,380,29
3825700,1,380,40
3825700,2,380,47
3825700,2,380,52
3825700,2,380,60
3825700,2,380,69
3825700,2,380,78
3825700,2,380,89
3825701,2,380,85
3825702,1,380,26
3825702,2,380,87
3825704,1,380,20
3825704,1,380,44
3825891,2,380,66
3825697,1,380,9
3825697,1,380,14
3825697,1,380,21
3825697,1,380,34
3825698,1,380,40
3825698,2,380,72
3825694,1,380,44
3825694,2,380,84
3825693,1,380,26
3825693,1,380,46
3825693,2,380,66
3825696,1,380,5
3825696,2,380,58
3825696,2,380,86
3825695,1,380,7
3825689,1,380,41
3825690,2,380,92
3825692,2,380,74
3825692,2,380,79
3825691,2,380,49
3825691,2,380,65
3825691,2,380,87
3825688,2,380,45
3825688,2,380,67
3825687,1,380,5
3825687,2,380,55
3825683,1,380,3
3825683,1,380,9
3825683,2,380,89
3825684,1,380,40
3825684,2,380,68
3825684,2,380,85
3825681,1,380,3
3825681,1,380,15
3825681,1,380,34
3825681,1,380,37
3825681,2,380,69
3825682,1,380,19
3825682,2,380,75
3825680,1,380,21
3825680,2,380,75
3825677,2,380,49
3825675,1,380,0
3825675,1,380,23
3825675,2,380,59
3825676,1,380,20
3825676,2,380,50
3825674,1,380,2
3825673,2,380,90
3825673,1,380,18
3825671,1,380,14
3825671,2,380,64
3825671,2,380,83
3825672,1,380,44
3825672,2,380,56
3825672,2,380,82
3825672,2,380,85
3825670,1,380,3
3825669,2,380,72
3825669,2,380,57
3825668,1,380,17
3825668,1,380,26
3825668,1,380,43
3825666,1,380,6
3825665,1,380,4
3825665,2,380,58
3825667,1,380,26
3825667,2,380,84
3825664,2,380,72
3825664,2,380,76
3825662,1,380,22
3825662,2,380,93
3825888,1,380,7
3825888,2,380,56
3825663,1,380,5
3825663,1,380,19
3825659,1,380,7
3825659,2,380,50
3825659,2,380,63
3825658,2,380,92
3825660,2,380,59
3825660,2,380,69
3825660,2,380,84
3825661,1,380,21
3825661,1,380,35
3825661,2,380,60
3825661,2,380,73
3825661,2,380,92
3825656,1,380,21
3825656,2,380,52
3825657,2,380,63
3825652,1,380,27
3825652,2,380,50
3825623,1,380,32
3825623,2,380,87
3825623,1,380,18
3825626,1,380,3
3825626,2,380,50
3825626,2,380,54
3825626,2,380,88
3825616,1,380,3
3825616,1,380,6
3825616,1,380,13
3825616,2,380,88
3825608,1,380,2
3825608,2,380,75
3825601,1,380,39
3825601,2,380,47
3825601,2,380,48
3825899,2,380,47
3825899,2,380,58
3825899,2,380,67
3825899,2,380,83
3825852,1,380,2
3825852,2,380,47
3825647,2,380,63
3825647,2,380,71
3825647,2,380,79
3825637,1,380,9
3825637,1,380,20
3825637,2,380,47
3825637,2,380,84
3825628,1,380,2
3825628,1,380,10
3825628,2,380,85
3825628,2,380,92
3825619,2,380,82
3825618,1,380,6
3825618,2,380,61
3825611,1,380,26
3825611,2,380,46
3825611,1,380,13
3825598,1,380,3
3825598,2,380,89
3825584,2,380,48
3825584,2,380,50
3825584,2,380,73
3825584,2,380,90
3825570,1,380,21
3825570,1,380,34
3825570,2,380,49
3825570,2,380,66
3825904,1,380,36
3825904,2,380,72
3825901,1,380,25
3825901,1,380,41
3825901,2,380,54
3825901,2,380,58
3825901,2,380,80
3825898,1,380,20
3825898,1,380,29
3825893,1,380,40
3825893,2,380,68
3825893,2,380,75
3825892,1,380,6
3825892,1,380,32
3825892,2,380,78
3825886,1,380,6
3825886,1,380,13
3825886,1,380,34
3825886,2,380,51
3825886,2,380,80
3825885,1,380,14
3825885,2,380,70
3825881,1,380,39
3825881,2,380,81
3825880,1,380,42
3825880,2,380,49
3825880,2,380,84
3825879,1,380,23
3825879,2,380,86
3825879,2,380,88
3825878,2,380,54
3825877,1,380,27
3825877,2,380,76
3825874,1,380,34
3825874,1,380,44
3825874,2,380,49
3825874,2,380,59
3825874,2,380,80
3825873,1,380,13
3825873,1,380,32
3825872,1,380,36
3825872,1,380,41
3825872,2,380,64
3825872,2,380,78
3825872,2,380,80
3825872,2,380,90
3825870,1,380,12
3825870,1,380,37
3825870,2,380,71
3825868,1,380,15
3825868,2,380,68
3825868,2,380,75
3825865,2,380,49
3825865,2,380,79
3825864,2,380,79
3825862,1,380,27
3825862,1,380,38
3825861,1,380,11
3825861,2,380,49
3825861,2,380,68
3825859,1,380,2
3825859,1,380,11
3825859,1,380,12
3825859,1,380,21
3825859,2,380,70
3825856,1,380,4
3825856,1,380,17
3825856,1,380,18
3825856,1,380,38
3825854,1,380,42
3825854,2,380,81
3825853,1,380,45
3825853,2,380,72
3825853,2,380,78
3825853,2,380,85
3825853,2,380,87
3825851,1,380,31
3825851,2,380,56
3825850,1,380,30
3825845,2,380,51
3825844,1,380,33
3825844,1,380,43
3825844,2,380,49
3825844,2,380,84
3825806,1,380,40
3825806,2,380,49
3825806,2,380,57
3825806,2,380,61
3825806,2,380,63
3825806,2,380,75
3825806,2,380,76
3825806,2,380,80
3825802,1,380,9
3825802,1,380,19
3825802,2,380,70
3825679,1,380,24
3825679,2,380,81
3825655,1,380,2
3825655,1,380,9
3825655,2,380,51
3825654,1,380,12
3825654,1,380,23
3825654,1,380,44
3825654,2,380,45
3825654,2,380,63
3825654,2,380,78
3825653,1,380,15
3825653,1,380,21
3825653,1,380,28
3825653,2,380,60
3825651,2,380,57
3825651,2,380,93
3825650,1,380,7
3825650,1,380,44
