match_id,period,n_matches,goal_time,home
3879863,1,380,9,0
3879863,1,380,18,1
3879773,1,380,11,1
3879773,2,380,59,1
3879847,1,380,11,0
3879847,1,380,44,0
3879847,2,380,46,1
3879847,2,380,49,0
3879847,2,380,55,0
3879847,2,380,82,0
3879862,1,380,11,0
3879862,1,380,19,0
3879862,2,380,65,1
3879817,1,380,3,1
3879817,1,380,43,1
3879825,1,380,5,1
3879825,1,380,43,1
3879750,2,380,66,0
3879750,2,380,80,0
3879750,2,380,83,1
3879750,2,380,86,0
3879750,2,380,90,1
3879567,2,380,55,1
3879567,2,380,58,1
3879567,2,380,68,1
3879567,2,380,74,0
3879785,2,380,66,1
3879785,2,380,94,1
3879705,2,380,67,0
3879705,2,380,92,0
3879628,1,380,15,1
3879628,1,380,37,1
3879628,2,380,48,1
3879628,2,380,78,1
3879628,2,380,86,0
3879665,1,380,18,1
3879665,2,380,49,0
3879665,2,380,54,0
3879665,2,380,76,0
3879665,2,380,82,1
3879665,2,380,92,0
3879699,1,380,8,0
3879699,1,380,17,0
3879699,1,380,44,1
3879699,2,380,59,0
3879699,2,380,72,1
3879699,2,380,78,0
3879703,1,380,4,0
3879703,2,380,65,1
3879703,2,380,71,1
3879703,2,380,80,1
3879703,2,380,95,1
3879609,2,380,52,1
3879653,1,380,2,0
3879653,1,380,5,1
3879653,2,380,79,1
3879653,2,380,90,1
3879632,1,380,39,0
3879632,2,380,81,0
3879663,1,380,33,0
3879663,1,380,38,1
3879645,1,380,13,1
3879645,1,380,20,1
3879645,2,380,59,1
3879645,2,380,86,0
3879645,2,380,89,0
3879579,2,380,59,0
3879579,2,380,65,1
3879566,2,380,46,1
3879566,2,380,75,0
3879587,2,380,66,0
3879556,2,380,57,1
3879556,2,380,70,1
3879585,1,380,30,1
3879585,2,380,52,0
3879585,2,380,85,1
3879582,1,380,39,1
3879582,2,380,69,1
3879582,2,380,93,1
3879564,1,380,1,0
3879564,1,380,12,0
3879564,1,380,26,0
3879564,2,380,57,1
3879564,2,380,90,1
3879564,2,380,91,0
3879562,1,380,12,0
3879562,2,380,47,0
3879562,2,380,66,0
3879562,2,380,76,0
3879837,1,380,8,0
3879837,1,380,35,1
3879837,2,380,74,1
3879837,2,380,94,1
3879838,1,380,2,0
3879838,1,380,19,1
