match_id,period,n_matches,goal_time,home
3754245,2,380,53,1
3754136,1,380,37,1
3754136,2,380,60,0
3754037,1,380,6,1
3754037,1,380,8,0
3754037,2,380,63,1
3754039,1,380,15,0
3754039,1,380,44,1
3754039,2,380,81,0
3754041,1,380,4,1
3754041,2,380,77,1
3754041,2,380,79,1
3754041,2,380,91,1
3754042,1,380,12,1
3754042,1,380,22,0
3754043,1,380,0,1
3754043,1,380,15,1
3754043,2,380,51,1
3754049,2,380,88,1
3754050,1,380,35,1
3754050,2,380,60,0
3754050,2,380,66,0
3754050,2,380,89,1
3754052,2,380,49,0
3754053,1,380,44,0
3754053,2,380,47,0
3754055,1,380,31,0
3754055,2,380,91,1
3754226,2,380,45,0
3754014,1,380,18,1
3754014,1,380,25,1
3754091,1,380,42,0
3754091,2,380,68,0
3754135,1,380,6,1
3754135,1,380,14,1
3754293,2,380,52,1
3754339,1,380,31,1
3754339,2,380,75,0
3754339,2,380,82,1
3754146,1,380,12,1
3754146,1,380,19,1
3754146,2,380,50,0
3754146,2,380,68,0
3754255,1,380,20,1
3754255,1,380,29,0
3754255,2,380,72,0
3754255,2,380,95,1
3754278,1,380,27,1
3754278,1,380,44,0
3753979,2,380,79,0
3753972,1,380,9,0
3753972,1,380,25,0
3753972,1,380,27,1
3753972,1,380,38,1
3753978,1,380,10,1
3753978,2,380,60,1
3753978,2,380,82,0
3753978,2,380,53,1
3753974,2,380,92,0
3753993,1,380,25,0
3753993,1,380,36,0
3753993,2,380,56,0
3753993,2,380,87,1
3753983,2,380,48,0
3753983,2,380,67,0
3753983,2,380,72,0
3754038,1,380,29,0
3754038,1,380,42,1
3754001,1,380,41,1
3754001,2,380,59,1
3754001,2,380,78,0
3754001,2,380,85,0
3754007,1,380,47,0
3754008,1,380,48,1
3754008,2,380,45,1
3754008,2,380,89,1
3754029,1,380,2,1
3754029,1,380,45,1
3754029,2,380,78,0
3754029,2,380,92,1
3753995,1,380,9,1
3753995,1,380,42,0
3753995,2,380,59,0
3753995,2,380,71,0
3753999,2,380,61,0
3753999,2,380,67,0
3753999,2,380,73,0
3754017,2,380,61,1
3754017,2,380,67,0
3754017,2,380,86,0
3754006,1,380,29,1
3754006,2,380,56,0
3754006,2,380,63,0
3754006,2,380,76,0
3754006,2,380,83,1
3754023,1,380,23,1
3754023,2,380,85,0
3753984,1,380,2,0
3753984,1,380,28,0
3753984,2,380,91,0
3754011,1,380,12,1
3754011,1,380,33,0
3754011,2,380,49,0
3754011,2,380,67,0
3754011,2,380,85,1
3754010,1,380,9,0
3754010,1,380,27,0
3754010,2,380,61,1
3754028,1,380,8,1
3754028,1,380,19,1
3754028,2,380,48,0
3754028,2,380,68,1
3753996,2,380,63,1
3754025,1,380,4,1
3754025,1,380,12,1
3754025,2,380,49,1
3754025,2,380,51,0
3754068,1,380,38,0
3754056,1,380,15,0
3754056,1,380,21,1
3754056,1,380,44,0
3754056,2,380,63,1
3754056,2,380,70,1
3754056,2,380,79,0
3754056,2,380,90,0
3754040,2,380,47,1
3754040,2,380,60,0
3754074,1,380,14,1
3754074,1,380,26,0
3754074,2,380,64,0
3754074,1,380,30,1
3754076,1,380,9,1
3754076,1,380,21,1
3754076,1,380,45,0
3754076,2,380,59,0
3754067,1,380,21,0
3754067,1,380,24,1
3754067,2,380,87,0
3754067,2,380,93,0
3754079,1,380,16,0
3754079,1,380,41,1
3754079,2,380,48,1
3754079,2,380,49,1
3754079,2,380,52,1
3754079,2,380,59,1
3754079,2,380,61,1
3754083,2,380,64,0
3754083,2,380,78,1
3754083,2,380,80,0
3754077,1,380,5,0
3754077,1,380,30,0
3754077,1,380,46,1
3754060,1,380,40,0
3754060,1,380,45,1
3754073,2,380,81,0
3754085,1,380,4,0
3754085,1,380,21,0
3754085,2,380,66,0
3754047,2,380,61,1
3754051,1,380,2,1
3754051,1,380,14,1
3754051,2,380,84,1
3754046,2,380,75,0
3754046,2,380,80,1
3754072,1,380,3,0
3754082,1,380,18,1
3754082,1,380,30,1
3754082,1,380,48,0
3754082,2,380,49,0
3754082,2,380,59,1
3754082,2,380,61,1
3754082,2,380,75,1
3754082,2,380,54,1
3754106,1,380,38,0
3754106,2,380,62,0
3754106,2,380,71,1
3754106,2,380,81,1
3754106,2,380,88,1
3754099,2,380,67,1
3754099,2,380,88,1
3754098,1,380,3,1
3754098,1,380,47,0
3754098,2,380,73,0
3754098,2,380,82,0
3754057,1,380,25,1
3754057,1,380,41,1
3754057,2,380,79,1
3754112,1,380,23,0
3754112,1,380,41,1
3754112,2,380,47,1
3754112,2,380,78,0
3754117,1,380,7,0
3754117,1,380,37,0
3754104,1,380,10,0
3754104,1,380,27,1
3754054,1,380,11,1
3754054,1,380,16,1
3754054,1,380,21,1
3754054,2,380,53,1
3754054,2,380,58,0
3754113,1,380,43,0
3754113,2,380,72,1
3754107,1,380,28,0
3754105,1,380,40,1
3754105,2,380,53,1
3754105,2,380,54,0
3754105,2,380,74,0
3754105,2,380,83,0
3754097,1,380,21,1
3754102,1,380,13,1
3754102,1,380,19,0
3754102,1,380,25,1
3754102,1,380,32,1
3754102,1,380,33,0
3754102,2,380,63,1
3754102,2,380,65,1
3754102,2,380,84,1
3754115,1,380,33,1
3754115,2,380,53,1
3754148,2,380,81,0
3754169,1,380,3,1
3754169,1,380,8,1
3754174,1,380,12,1
3754174,1,380,17,0
3754174,1,380,32,0
3754174,2,380,56,0
3754174,2,380,80,0
3754174,2,380,88,1
3754174,2,380,92,0
3754185,1,380,10,0
3754185,2,380,86,1
3754185,2,380,89,0
3754162,1,380,1,1
3754162,1,380,23,0
3754162,2,380,53,1
3754171,1,380,5,1
3754171,1,380,6,1
3754171,1,380,19,1
3754119,1,380,47,1
3754119,2,380,64,1
3754119,2,380,85,1
3754126,1,380,35,1
3754126,1,380,37,1
3754126,1,380,43,0
3754133,2,380,45,0
3754167,2,380,66,1
3754167,2,380,82,0
3754167,2,380,88,1
3754145,1,380,8,0
3754145,1,380,23,0
3754145,2,380,58,0
3754153,1,380,45,0
3754153,2,380,75,1
3754153,2,380,87,0
3754143,2,380,92,1
3754143,2,380,68,1
3754186,1,380,23,1
3754186,1,380,45,0
3754130,1,380,23,1
3754130,2,380,86,1
3754188,1,380,39,0
3754188,1,380,42,0
3754178,1,380,16,0
3754178,1,380,40,1
3754178,2,380,84,0
3754178,2,380,88,1
3754178,2,380,68,0
3754157,1,380,24,0
3754157,1,380,35,0
3754157,2,380,79,1
3754157,2,380,86,1
3754157,2,380,94,0
3754157,2,380,97,1
3754166,1,380,26,0
3754166,1,380,31,1
3754166,2,380,64,0
3754166,2,380,68,0
3754166,2,380,88,1
3754211,1,380,45,0
3754211,2,380,61,0
3754211,2,380,82,0
3754150,2,380,81,1
3754150,2,380,83,1
3754160,1,380,32,1
3754160,2,380,62,1
3754160,2,380,92,1
3754160,1,380,44,0
3754218,1,380,37,1
3754217,2,380,52,1
3754217,2,380,90,1
3754205,2,380,51,0
3754221,2,380,47,0
3754221,2,380,60,1
3754221,2,380,65,1
3754193,1,380,6,1
3754193,1,380,10,1
3754193,1,380,21,0
3754193,1,380,28,1
3754193,1,380,47,1
3754193,2,380,88,1
3754222,2,380,67,1
3754213,2,380,58,1
3754212,1,380,1,1
3754212,2,380,58,1
3754212,2,380,65,0
3754212,2,380,66,1
3754212,2,380,70,0
3754197,1,380,24,0
3754197,1,380,44,1
3754197,2,380,49,1
3754197,2,380,60,1
3754197,2,380,78,1
3754208,1,380,22,0
3754208,1,380,31,0
3754208,1,380,43,1
3754208,2,380,80,0
3754208,1,380,6,0
3754204,1,380,7,0
3754204,1,380,11,1
3754204,1,380,40,1
3754204,2,380,51,0
3754194,1,380,29,1
3754194,1,380,42,0
3754219,2,380,51,0
3754219,2,380,78,1
3754219,2,380,86,0
3754230,2,380,76,1
3754230,2,380,85,0
3754285,1,380,46,0
3754285,2,380,61,1
3754233,2,380,59,0
3754233,2,380,87,0
3754270,1,380,18,1
3754270,1,380,46,1
3754270,2,380,77,0
3754270,2,380,82,0
3754237,1,380,10,1
3754237,1,380,17,1
3754237,1,380,24,1
3754237,2,380,59,0
3754237,2,380,65,1
3754237,2,380,70,0
3754257,2,380,89,0
3754266,2,380,70,0
3754256,1,380,17,0
3754256,1,380,21,0
3754256,2,380,61,0
3754288,1,380,16,1
3754288,2,380,55,0
3754288,2,380,78,1
3754238,1,380,26,0
3754269,1,380,3,0
3754234,1,380,0,1
3754234,1,380,8,0
3754234,1,380,16,0
3754234,1,380,28,0
3754234,2,380,55,0
3754234,2,380,62,0
3754246,2,380,46,1
3754246,2,380,55,1
3754296,1,380,32,1
3754296,1,380,45,1
3754296,2,380,81,0
3754273,1,380,38,1
3754273,2,380,47,1
3754263,2,380,58,1
3754286,1,380,29,1
3754286,2,380,90,1
3754291,1,380,16,0
3754291,1,380,40,1
3754291,2,380,88,0
3754283,1,380,16,1
3754283,1,380,27,1
3754283,1,380,41,1
3754283,2,380,58,1
3754235,1,380,16,1
3754235,2,380,49,0
3754279,1,380,8,1
3754276,1,380,38,1
3754276,2,380,73,0
3754276,2,380,92,0
3754287,1,380,31,1
3754287,1,380,41,0
3754287,2,380,64,1
3754287,2,380,55,0
3754335,1,380,27,0
3754335,2,380,46,0
3754335,2,380,67,1
3754315,1,380,34,1
3754315,2,380,51,1
3754315,2,380,66,1
3754315,2,380,80,0
3754330,2,380,54,0
3754337,1,380,45,1
3754337,2,380,63,1
3754337,2,380,66,1
3754297,2,380,51,1
3754297,2,380,90,1
3754301,1,380,27,0
3754301,1,380,34,1
3754301,1,380,39,1
3754323,1,380,8,0
3754323,1,380,32,1
3754323,2,380,82,0
3754323,2,380,92,1
3754304,1,380,9,0
3754304,1,380,13,1
3754304,1,380,16,1
3754304,1,380,40,1
3754304,2,380,46,1
3754304,2,380,92,1
3754311,2,380,69,1
3754328,1,380,25,1
3754328,2,380,89,0
3754328,2,380,91,1
3754309,1,380,18,1
3754309,2,380,54,1
3754309,2,380,68,1
3754309,2,380,91,1
3754329,1,380,8,1
3754329,2,380,47,1
3754302,1,380,20,1
3754302,1,380,36,1
3754302,2,380,65,0
3754302,2,380,90,0
3754013,1,380,33,1
3754013,2,380,47,1
3754013,2,380,76,0
3754044,1,380,37,0
3754044,2,380,53,0
3754044,2,380,65,1
3754351,1,380,20,0
3754351,1,380,41,1
3754351,2,380,81,0
3754343,2,380,62,1
3754109,1,380,22,1
3754109,1,380,32,1
3754109,2,380,49,1
3754109,2,380,83,1
3754109,2,380,86,0
3754182,1,380,14,0
3754182,2,380,46,1
3754240,1,380,30,1
3754240,2,380,84,1
3754336,1,380,16,1
