match_id,period,n_matches,goal_time,home
3825776,2,380,68,1
3825776,2,380,74,1
3825775,1,380,20,1
3825775,1,380,44,1
3825775,2,380,59,1
3825769,1,380,17,1
3825770,1,380,2,1
3825770,1,380,9,0
3825770,1,380,36,1
3825770,1,380,44,1
3825770,2,380,86,1
3825770,2,380,89,0
3825768,1,380,4,1
3825768,1,380,38,0
3825768,1,380,45,1
3825768,2,380,57,0
3825736,1,380,14,0
3825736,2,380,54,1
3825736,2,380,68,0
3825736,2,380,87,1
3825731,2,380,50,1
3825731,2,380,71,0
3825685,1,380,16,1
3825685,1,380,37,0
3825685,2,380,77,1
3825685,2,380,83,1
3825678,1,380,42,0
3825678,2,380,81,0
3825643,1,380,3,1
3825643,1,380,13,1
3825643,1,380,37,0
3825643,1,380,42,1
3825642,1,380,33,0
3825642,2,380,76,1
3825638,1,380,31,1
3825638,1,380,39,1
3825638,2,380,71,0
3825614,1,380,24,0
3825614,2,380,64,1
3825612,2,380,80,1
3825612,2,380,90,1
3825612,2,380,91,1
3825607,1,380,13,1
3825595,1,380,42,1
3825595,2,380,66,1
3825595,2,380,79,1
3825595,2,380,91,0
3825579,1,380,34,0
3825579,2,380,77,0
3825579,2,380,84,0
3825572,1,380,1,1
3825572,1,380,38,1
3825572,2,380,46,1
3825572,2,380,49,1
3825572,2,380,88,1
3825774,1,380,1,0
3825772,2,380,51,0
3825772,2,380,70,1
3825772,2,380,75,1
3825771,1,380,14,1
3825771,1,380,19,0
3825771,1,380,37,0
3825771,2,380,50,1
3825767,1,380,4,0
3825767,1,380,7,0
3825767,2,380,51,0
3825767,2,380,54,0
3825767,2,380,89,0
3825706,2,380,70,0
3825708,2,380,78,0
3825707,1,380,31,1
3825707,2,380,49,1
3825707,2,380,55,0
3825707,2,380,79,1
3825707,2,380,91,1
3825705,2,380,54,1
3825705,2,380,61,1
3825711,2,380,87,0
3825711,2,380,89,0
3825703,2,380,54,1
3825703,2,380,81,1
3825700,1,380,2,1
3825700,1,380,9,0
3825700,1,380,11,0
3825700,1,380,24,1
3825700,1,380,29,1
3825700,1,380,40,1
3825700,2,380,47,1
3825700,2,380,52,1
3825700,2,380,60,1
3825700,2,380,69,1
3825700,2,380,78,1
3825700,2,380,89,1
3825701,2,380,85,1
3825702,1,380,26,0
3825702,2,380,87,0
3825704,1,380,20,0
3825704,1,380,44,0
3825891,2,380,66,1
3825697,1,380,9,0
3825697,1,380,14,1
3825697,1,380,21,0
3825697,1,380,34,1
3825698,1,380,40,1
3825698,2,380,72,1
3825694,1,380,44,1
3825694,2,380,84,0
3825693,1,380,26,0
3825693,1,380,46,1
3825693,2,380,66,1
3825696,1,380,5,1
3825696,2,380,58,0
3825696,2,380,86,0
3825695,1,380,7,1
3825689,1,380,41,1
3825690,2,380,92,1
3825692,2,380,74,1
3825692,2,380,79,1
3825691,2,380,49,0
3825691,2,380,65,1
3825691,2,380,87,0
3825688,2,380,45,1
3825688,2,380,67,0
3825687,1,380,5,0
3825687,2,380,55,1
3825683,1,380,3,0
3825683,1,380,9,1
3825683,2,380,89,1
3825684,1,380,40,0
3825684,2,380,68,1
3825684,2,380,85,1
3825681,1,380,3,1
3825681,1,380,15,1
3825681,1,380,34,1
3825681,1,380,37,1
3825681,2,380,69,0
3825682,1,380,19,0
3825682,2,380,75,0
3825680,1,380,21,1
3825680,2,380,75,0
3825677,2,380,49,1
3825675,1,380,0,0
3825675,1,380,23,0
3825675,2,380,59,0
3825676,1,380,20,1
3825676,2,380,50,1
3825674,1,380,2,1
3825673,2,380,90,0
3825673,1,380,18,0
3825671,1,380,14,1
3825671,2,380,64,0
3825671,2,380,83,1
3825672,1,380,44,1
3825672,2,380,56,1
3825672,2,380,82,0
3825672,2,380,85,0
3825670,1,380,3,0
